filename,xmin,ymin,xmax,ymax,xloc,yloc,zloc
000000.txt,712,143,810,307,1,1,8
000001.txt,599,156,629,189,0,1,69
000001.txt,387,181,423,203,-16,2,58
000002.txt,804,167,995,327,3,1,8
000002.txt,657,190,700,223,3,2,34
000003.txt,614,181,727,284,1,1,13
000004.txt,280,185,344,215,-15,2,38
000004.txt,365,184,406,205,-15,2,51
000005.txt,330,178,360,238,-8,2,23
000006.txt,548,171,572,194,-2,0,48
000006.txt,505,168,575,209,-2,1,31
000006.txt,49,185,227,246,-12,1,19
000006.txt,328,170,397,204,-12,1,38
000007.txt,564,174,616,224,0,1,25
000007.txt,481,180,512,202,-7,1,47
000007.txt,542,175,565,193,-4,1,60
000007.txt,330,176,355,213,-12,1,34
000008.txt,0,192,402,374,-2,1,3
000008.txt,334,178,624,372,-1,1,7
000008.txt,937,197,1241,374,3,1,6
000008.txt,597,176,720,261,1,1,14
000008.txt,741,168,792,208,7,1,33
000008.txt,884,178,956,240,8,1,19
000009.txt,601,177,659,229,0,1,23
000009.txt,600,177,624,193,0,1,66
000009.txt,574,178,598,194,-2,1,68
000010.txt,1013,182,1241,374,4,1,5
000010.txt,354,185,549,294,-2,1,11
000010.txt,859,159,879,221,8,1,23
000010.txt,819,178,926,251,5,1,16
000010.txt,800,178,878,230,6,1,22
000010.txt,558,179,635,230,0,1,23
000010.txt,784,178,839,220,7,1,28
000010.txt,663,175,707,204,4,1,42
000011.txt,883,144,937,259,5,1,12
000011.txt,873,152,933,256,5,1,13
000011.txt,444,171,504,225,-4,1,26
000011.txt,0,217,85,374,-5,1,4
000011.txt,240,190,268,261,-7,1,15
000012.txt,662,185,690,205,5,2,58
000012.txt,448,177,481,206,-13,2,65
000013.txt,455,183,533,241,-3,1,20
000014.txt,626,176,654,194,2,1,59
000015.txt,0,194,414,373,-2,1,4
000015.txt,672,171,690,224,2,1,24
000015.txt,692,169,712,224,3,1,24
000015.txt,537,168,560,224,-1,1,23
000016.txt,661,174,694,197,4,1,44
000016.txt,125,91,474,253,-9,2,26
000016.txt,684,172,733,205,4,1,33
000016.txt,0,193,386,374,-3,1,6
000016.txt,494,181,527,205,-6,2,46
000016.txt,587,158,648,188,0,1,90
000017.txt,728,173,791,200,9,1,47
000018.txt,523,194,550,219,-4,2,47
000018.txt,572,185,606,219,-1,2,47
000018.txt,387,166,473,213,-15,3,59
000019.txt,0,0,424,374,-3,1,5
000019.txt,742,184,944,321,2,1,9
000019.txt,639,169,683,212,2,1,35
000019.txt,551,184,575,204,-3,2,59
000020.txt,685,181,804,258,2,1,15
000021.txt,359,179,516,270,-3,1,13
000021.txt,444,163,559,247,-2,1,17
000021.txt,870,115,1101,213,10,1,21
000021.txt,724,171,790,215,5,1,25
000021.txt,534,166,596,216,-1,1,26
000021.txt,709,162,765,205,5,1,32
000021.txt,562,166,605,206,-1,1,31
000022.txt,128,199,218,237,-19,2,31
000022.txt,60,198,159,238,-21,2,31
000023.txt,599,156,629,189,0,1,69
000023.txt,372,182,412,205,-16,2,55
000023.txt,677,164,690,195,4,1,44
000024.txt,517,162,564,196,-3,0,36
000024.txt,443,168,480,195,-7,0,38
000024.txt,427,165,455,185,-12,0,52
000025.txt,896,218,1241,374,2,1,3
000025.txt,351,183,537,308,-2,1,10
